,city,lat,temp_max,windspeed,cloudiness,humidity
392,toktogul,41.87,47.19,2.64,48,71
393,ternate,14.29,80.6,2.24,20,100
394,mopipi,-21.2,60.33,16.17,12,60
395,twin falls,42.57,78.8,16.11,1,28
396,christchurch,-43.53,32.0,2.24,64,100
397,chernyshevskiy,63.01,63.12,2.64,64,83
398,betafo,-19.84,46.47,4.88,0,86
399,iqaluit,63.75,53.6,17.22,40,54
400,terrace bay,48.78,69.8,6.93,90,77
401,naica,27.86,84.9,3.65,0,49
402,brae,60.4,57.2,4.7,75,82
403,yangshe,31.89,75.63,4.43,8,100
404,kattivakkam,13.22,86.0,10.29,40,70
405,llanes,43.42,56.73,2.42,88,96
406,almaznyy,48.03,74.37,6.44,0,40
407,hirata,37.21,75.36,12.37,64,70
408,miri,10.31,80.76,5.99,76,64
409,griffith,-34.29,46.47,10.47,0,86
410,ulladulla,-35.36,46.4,8.05,0,93
411,imphal,24.8,71.04,2.19,68,96
412,nanning,22.83,82.4,2.24,0,88
413,amalapuram,16.58,74.73,16.51,92,98
414,touros,-5.2,84.27,18.52,8,64
415,teguise,29.06,75.2,29.97,20,60
416,baghdad,33.3,104.0,11.41,0,17
417,concord,37.98,69.8,13.87,20,59
418,shimoda,34.7,75.2,17.22,90,94
419,nalut,31.86,99.12,10.02,0,16
420,codrington,-28.95,59.7,2.98,92,98
421,sayyan,15.17,71.58,2.75,88,35
422,kamenka,53.19,70.05,7.67,8,38
423,calama,-22.46,62.6,11.41,0,21
424,vigrestad,58.57,60.8,11.41,20,77
425,choa saidan shah,32.72,68.52,6.44,92,100
426,vrangel,42.73,58.26,5.1,92,89
427,west odessa,31.84,96.8,12.75,1,20
428,north bend,43.41,59.0,8.05,90,93
429,nacala,-14.56,80.31,10.8,88,80
430,innisfail,52.02,59.0,10.29,75,77
431,walvis bay,-22.95,68.0,5.82,0,30
432,nadym,65.53,48.18,5.77,0,61
433,coihaique,-45.58,39.2,5.82,0,68
434,osa,57.28,70.68,6.78,0,79
435,at-bashi,41.17,45.12,2.42,68,100
436,tacuati,-23.46,78.15,3.2,0,69
437,pochutla,15.74,91.4,9.35,40,52
438,emerald,-23.53,56.55,7.23,56,91
439,salta,-24.79,53.6,8.05,40,62
440,flin flon,54.77,51.8,13.87,90,87
441,flinders,-34.58,46.4,8.05,0,93
442,tonantins,-2.86,87.6,3.65,8,64
443,mecca,21.43,100.4,3.36,0,35
444,college,64.86,69.8,5.44,1,59
445,vestmannaeyjar,63.44,51.8,12.75,75,87
446,sorland,67.67,53.6,8.05,75,76
447,cabinda,-5.56,75.2,5.82,40,83
448,cap malheureux,-19.98,73.4,16.11,40,78
449,dzilam gonzalez,21.28,84.99,4.21,24,78
450,mamallapuram,12.63,86.0,10.29,40,70
451,ram das,31.97,80.6,8.9,20,78
452,norman wells,65.28,66.2,9.17,75,68
453,zhengjiatun,43.51,72.75,7.11,48,72
454,waipawa,-39.94,27.12,2.86,0,71
455,novo aripuana,-5.12,93.81,2.64,8,39
456,prykolotne,50.16,69.6,12.03,8,49
457,luwero,0.85,66.27,6.67,12,79
458,swanton,41.59,91.4,4.43,40,46
459,fort nelson,58.81,66.2,2.24,40,59
460,inhambane,-23.87,62.6,4.7,20,82
461,sisimiut,66.94,43.05,1.74,80,94
462,hukuntsi,-23.98,52.05,9.13,0,48
463,noumea,-22.28,64.4,1.12,0,82
464,bathsheba,13.22,86.0,24.16,75,66
465,abashiri,44.01,48.0,4.76,100,100
466,barcelos,41.53,68.0,5.82,75,82
467,auki,12.18,81.66,5.66,12,70
468,whitehorse,60.72,66.2,2.24,75,42
469,boa vista,2.82,87.8,3.36,40,58
470,hay river,60.82,62.6,6.93,20,45
471,severo-yeniseyskiy,60.37,47.28,6.44,88,77
472,jiujiang,29.73,77.52,3.76,44,96
473,lehigh acres,26.63,91.4,4.43,40,59
474,nizhniy odes,63.64,71.4,6.33,8,41
475,cody,44.53,66.2,5.82,1,42
476,oktyabrskiy,55.61,57.2,8.95,75,93
477,mayo,63.59,71.6,11.41,40,33
478,presidente medici,-11.18,92.28,3.2,0,33
479,kholodnyy,62.72,48.54,2.53,88,83
480,hayden,47.77,69.8,12.75,1,43
481,mingguang,32.78,77.7,6.44,92,95
482,tigil,57.8,51.51,9.69,0,68
483,yaan,7.38,80.4,3.87,48,81
484,malangali,-8.57,61.05,13.04,0,73
485,manono,-7.3,78.78,11.48,0,33
486,kyshtovka,56.56,60.51,2.86,64,76
487,ekhabi,53.51,45.21,5.88,88,98
488,tutoia,-2.76,89.6,9.17,40,62
489,hovd,63.83,64.4,6.93,0,48
490,jilib,0.49,75.0,11.14,64,84
491,zabol,31.03,95.0,26.4,0,11
492,ballinrobe,53.62,68.0,10.29,0,72
493,warragul,-38.16,57.27,8.01,20,68
494,launceston,-41.43,50.0,16.11,90,93
495,sao felix do xingu,-6.64,93.72,2.98,0,35
496,saint george,39.45,82.4,4.7,0,54
497,russell,-33.01,35.6,2.24,75,93
498,buchanan,5.88,77.61,8.01,88,97
499,pankrushikha,53.83,58.17,3.42,0,71
500,faya,18.39,73.4,6.93,0,73
501,sept-iles,50.2,78.8,13.87,40,34
502,okhotsk,59.36,45.03,2.98,8,100
503,salinas,36.67,64.4,11.41,75,68
504,omboue,-1.57,75.18,12.71,32,100
505,saint-pierre,48.95,82.4,6.93,0,42
506,hannibal,39.71,91.4,9.17,20,55
507,todos santos,23.45,93.2,10.29,5,49
508,banjar,-7.37,70.23,7.56,12,83
509,palma di montechiaro,37.19,78.8,2.24,0,83
510,sobolevo,54.43,58.62,8.46,8,84
511,diego de almagro,-26.39,62.13,3.42,0,75
512,tanete,-3.94,72.57,4.21,92,100
513,quelimane,-17.88,69.8,3.36,75,83
514,porangatu,-13.44,85.35,9.13,0,49
515,maldonado,-34.91,51.8,5.82,75,57
516,cayenne,4.94,80.6,3.36,90,88
517,turukhansk,65.8,44.4,10.69,12,62
518,llangefni,53.26,73.4,6.93,0,35
519,tieli,46.98,64.83,9.24,92,96
520,kampene,-3.59,81.66,1.74,92,49
521,muisne,0.61,79.5,7.56,56,71
522,paamiut,61.99,41.43,13.94,92,89
523,nizwa,22.93,87.15,2.42,56,32
524,melfi,41.0,80.6,10.29,0,88
525,aktau,43.65,82.4,2.24,0,69
526,praia da vitoria,38.73,73.4,12.15,40,64
527,watsa,3.04,66.54,1.63,64,97
528,khash,28.22,73.56,7.56,0,15
529,sibolga,1.74,69.33,0.74,76,100
530,puerto ayacucho,5.66,86.0,9.17,40,66
531,ahuas,15.48,75.2,3.98,90,94
532,cortez,37.35,84.2,4.7,1,14
533,khorixas,-20.37,60.15,7.23,0,19
534,julio de castilhos,-29.23,50.7,3.65,92,85
535,kidderminster,52.39,77.0,5.82,0,38
536,mahajanga,-15.72,77.0,9.17,0,53
537,sabinas hidalgo,26.51,94.62,5.99,0,40
538,santa luzia,-19.77,80.6,6.93,40,38
539,portland,45.52,80.6,26.4,90,26
540,khonsa,26.99,71.31,1.97,48,96
541,baruun-urt,46.68,63.48,2.98,76,80
542,urusha,54.05,65.73,7.67,80,80
543,koundara,12.49,87.87,4.21,44,63
544,keratea,37.81,87.8,6.93,0,42
545,port hawkesbury,45.62,82.4,11.41,1,48
546,rajapur,25.39,87.51,11.7,80,60
547,visby,57.64,68.0,11.41,0,52
548,el alto,-16.5,59.0,8.05,75,15
549,kaseda,31.42,77.0,2.24,90,94
550,tamsweg,47.13,77.0,3.36,40,53
551,guzelyurt,38.28,73.4,10.29,0,49
552,nushki,29.55,69.06,2.3,0,20
553,sao filipe,14.9,74.82,14.27,0,95
554,illapel,-31.63,50.88,16.06,92,95
555,kenai,60.55,60.8,5.82,1,82
556,tautira,-17.73,80.6,2.24,20,74
557,verkhoyansk,67.55,67.35,8.01,64,65
558,vestmanna,62.16,53.6,16.11,24,93
559,dalvik,57.79,78.8,10.29,0,29
560,kafanchan,9.58,74.82,2.75,36,78
561,baykit,61.68,45.75,9.8,92,89
